Scan	AZ	EL	PA	FWHM	SAZ	SAZ_err	SEL	SEL_err
NML_pt	106.6	40.0	-2.6	38.9	-2.75	0.23	-0.42	0.23
NML_pt	112.2	45.1	-2.8	36.8	-2.71	0.25	0.00	0.26
NML_pt	139.3	59.8	-3.4	27.9	-1.76	0.14	0.64	0.15
NML_pt	223.9	58.7	-5.5	34.5	-2.14	0.20	0.87	0.21
NML_pt	253.9	39.5	-6.2	30.5	-2.43	0.11	0.06	0.11
NML000	183.6	65.5	+4.5	27.8	-1.58	0.07	0.71	0.20
NML030	191.3	65.1	-4.7	27.0	-1.48	0.14	-0.03	0.21
NML060	198.7	64.4	-4.9	29.8	-3.00	0.22	0.76	0.12
NML090	205.6	63.5	-5.1	35.2	-0.98	0.35	0.10	0.10
NML120	211.9	62.2	-5.2	30.2	-2.18	0.24	0.05	0.15
NML150	217.7	60.7	-5.4	28.6	-2.29	0.13	-0.12	0.20
NML_pt_20160415	106.6	40.0	-2.6	38.9	-2.75	0.23	-0.42	0.23
NML_pt_20160415	112.2	45.1	-2.8	36.8	-2.71	0.25	0.00	0.26
NML_pt_20160415	139.3	59.8	-3.4	27.9	-1.76	0.14	0.64	0.15
NML_pt_20160415	223.9	58.7	-5.5	34.5	-2.14	0.20	0.87	0.21
NML_pt_20160415	253.9	39.5	-6.2	30.5	-2.43	0.11	0.06	0.11
NML_pt_20140417	122.4	52.3	-3.0	29.9	-1.96	0.22	0.13	0.20
NML_pt_20140417	104.4	37.7	-2.6	33.9	-1.27	0.37	-0.47	0.47
NML_pt_20140417	237.0	52.7	-5.8	27.1	-1.70	0.16	0.05	0.14
NML_pt_20140417	184.6	65.4	-4.6	29.4	-1.41	0.12	0.95	0.15
NML_pt_20150315	143.4	61.0	-3.5	32.6	-1.88	0.18	1.39	0.19
NML_pt_20150316	215.8	61.2	-5.3	28.7	-1.49	0.25	0.41	0.30
NML_pt_20150316	140.3	60.1	-3.5	26.7	-1.82	0.17	0.14	0.17
NML_pt_20150316	101.6	34.6	-2.5	28.8	-1.75	0.15	-0.91	0.21
NML_pt_20150416	115.8	47.9	-2.8	36.5	-2.60	0.18	-0.10	0.21
NML_pt_20150416	174.0	65.4	-4.3	44.3	-3.04	0.51	2.20	0.76
NML_pt_20150417	171.5	65.3	-4.2	39.3	-2.48	0.23	0.62	0.21
NML_pt_20150417	114.9	47.3	-2.8	42.2	-3.23	0.40	0.19	0.38
NML_pt_20150425	113.7	46.3	-2.8	30.6	-1.31	0.20	-0.26	0.29
NML_pt_20150425	161.8	64.5	-4.0	30.8	-1.79	0.18	0.11	0.18
NML_pt_20150425	221.2	59.7	-5.4	31.2	-1.48	0.19	0.17	0.21
NML_pt_20150425	252.2	41.1	-6.1	32.1	-1.78	0.18	-0.53	0.20
NML_pt_20150426	113.2	45.9	-2.8	29.8	-1.85	0.14	-0.22	0.15
NML_pt_20150426	160.5	64.3	-4.0	25.2	-1.23	0.13	0.27	0.12
NML_pt_20150426	220.5	59.9	-5.4	31.7	-1.49	0.08	-0.06	0.10
NML_pt_20150426	252.2	41.2	-6.1	35.8	-2.26	0.25	-0.73	0.191
